Pod type,Pod flavor,vCPU Request (vCore),vCPU Limit (vCore),vMemory (GB),Hugepage (GB),Persistent Volume (GB),Package
DPP,small-tdd,54,#N/A,17.74,22.61,"2(shared-pvc), 40(shared-log-pvc)",26A
DPP,medium-uni-regular-spr ,54,54,23.54,46.32,"2(shared-pvc), 40(shared-log-pvc)",26A
DPP,medium-uni-regular-spr-t11,54,54,23.54,46.32,"2(shared-pvc), 40(shared-log-pvc)",26A
DPP,medium-uni-regular-spr-t91,54,54,23.54,46.32,"2(shared-pvc), 40(shared-log-pvc)",26A
DPP,medium-uni-light-spr ,58,58,19.54,58.2,"2(shared-pvc), 40(shared-log-pvc)",26A
DPP,medium-tdd-regular-spr-t11,56,56,19.24,32.73,"2(shared-pvc), 40(shared-log-pvc)",26A
DPP,medium-tdd-regular-spr-t12,56,56,19.24,32.73,"2(shared-pvc), 40(shared-log-pvc)",26A
DPP,medium-tdd-regular-spr-t91,58,58,19.24,32.73,"2(shared-pvc), 40(shared-log-pvc)",26A
DPP,medium-uni-enterprise-spr ,38,38,27.84,40.83,"2(shared-pvc), 40(shared-log-pvc)",26A
DPP,medium-icl,54,54,21.14,42.29,"2(shared-pvc), 40(shared-log-pvc)",26A
DPP,medium-uni,56,56,31.24,37.92,"2(shared-pvc), 40(shared-log-pvc)",26A
DPP,medium-slim-gsm-spr,44,44,22.14,45.27,"2(shared-pvc), 40(shared-log-pvc)",26A
DPP,medium-regular-spr-t20,44,44,21.94,57.9,"2(shared-pvc), 40(shared-log-pvc)",26A
DPP,tdd-510m-9c-spr,54,54,19.14,32.53,"2(shared-pvc), 40(shared-log-pvc)",26A
DPP,fdd-270m-18c-gsm-9trx-spr,48,48,22.04,42.7,"2(shared-pvc), 40(shared-log-pvc)",26A
DPP,fdd-120m-12c-gsm-8trx-spr,38,38,21.34,40.5,"2(shared-pvc), 40(shared-log-pvc)",26A
DPP,fdd-240m-12c-spr,38,38,21.24,42.09,"2(shared-pvc), 40(shared-log-pvc)",26A
DPP,tdd-300m-3c-spr,30,30,17.04,25.31,"2(shared-pvc), 40(shared-log-pvc)",26A
DPP,medium-regular-gsm-gnr-t20,50,50,24.14,59.5,"2(shared-pvc), 40(shared-log-pvc)",26A
DPP,medium-regular-gsm-gnr-t21,70,70,25.44,59.3,"2(shared-pvc), 40(shared-log-pvc)",26A
DPP,medium-regular-gnr-t21,46,46,22.94,58.2,"2(shared-pvc), 40(shared-log-pvc)",26A
DPP,medium-tdd-gnr-t20,60,60,20.34,33.43,"2(shared-pvc), 40(shared-log-pvc)",26A
DPP,medium-regular-spr-t5,18,18,17.44,21.03,"2(shared-pvc), 40(shared-log-pvc)",26A
DPP,medium-regular-sn-t20-xaca,112,112,21.64,69.8,"2(shared-pvc), 41(shared-log-pvc)",26A
DIP,medium-2m,3,3,12,N/A,"2(shared-pvc), 40(shared-log-pvc)",26A
DIP,medium-gnr,4,4,12,N/A,"2(shared-pvc), 40(shared-log-pvc)",26A
IPP,small,2,2,2,2,"2(shared-pvc), 40(shared-log-pvc)",26A
IIP,large,4,4,2,2,"2(shared-pvc), 40(shared-log-pvc)",26A
DMP,medium-regular-t7,0.2,2,1.5,N/A,"2(db-pvc), 4(shared-pvc), 40(shared-log-pvc)",26A
CMP,medium-regular-t7,0.2,2,0.8,N/A,"4(shared-pvc), 40(shared-log-pvc)",26A
PMP,medium-regular-t7,0.1,2,0.6,N/A,"4(shared-pvc), 40(shared-log-pvc)",26A
RMP,medium-regular-t7,0.5,2,0.3,N/A,"4(shared-pvc), 40(shared-log-pvc)",26A
VAMP,medium-uni,BE,BE,2,N/A,"2(shared-pvc), 40(shared-log-pvc)",26A
DPP,N/A,N/A,N/A,N/A,N/A,N/A,N/A
CMP,N/A,N/A,N/A,N/A,N/A,N/A,N/A
DIP,N/A,N/A,N/A,N/A,N/A,N/A,N/A
PMP,N/A,N/A,N/A,N/A,N/A,N/A,N/A
RMP,N/A,N/A,N/A,N/A,N/A,N/A,N/A
IPP,N/A,N/A,N/A,N/A,N/A,N/A,N/A
IIP,N/A,N/A,N/A,N/A,N/A,N/A,N/A
VAMP,N/A,N/A,N/A,N/A,N/A,N/A,N/A
